CD_MUN;NM_MUN;V00001;V00002;V00003;V00004;V00005;V00006;V00007;V00008;V00009;V00010;V00011;V00012;V00013;V00014;V00015;V00016;V00017;V00018;V00019;V00020;V00021;V00022;V00023;V00024;V00025;V00026;V00027;V00028;V00029;V00030;V00031;V00032;V00033;V00034;V00035;V00036;V00037;V00038;V00039;V00040;V00041;V00042;V00043;V00044;V00045;V00046;V00047;V00048;V00049;V00050;V00051;V00052;V00053;V00054;V00055;V00056;V00057;V00058;V00059;V00060;V00061;V00062;V00063;V00064;V00065;V00066;V00067;V00068;V00069;V00070;V00071;V00072;V00073;V00074;V00075;V00076;V00077;V00078;V00079;V00080;V00081;V00082;V00083;V00084;V00085;V00086;V00087;V00088;V00089
3543501;Riversul;2115;5;0;2115;5593;6;0;719;0;0;2811;5;0;2782;0;0;415;687;508;315;119;32;6;3;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2115;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5593;719;2811;2782;415;687;508;315;119;32;6;3;0;0;5593;0;0;719;0;0
3543600;Rifaina;1451;0;30;1451;3999;3;30;473;0;0;2003;0;16;1996;0;14;289;435;336;199;105;35;7;3;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;1412;19;10;0;0;0;0;0;0;0;0;0;26;0;4;0;0;0;0;0;0;0;0;3999;473;2003;1996;289;435;336;199;105;35;7;3;0;0;3878;65;55;451;9;7
3543709;Rincão;3315;0;20;3315;9064;0;20;1079;0;0;4494;0;11;4570;0;9;647;996;819;515;195;72;21;3;3;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;3227;79;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;9064;1079;4494;4570;647;996;819;515;195;72;21;3;3;0;8825;223;4;1061;17;0
3543808;Rinópolis;3498;0;40;3498;9216;0;40;981;0;0;4553;0;21;4663;0;19;654;1170;875;511;174;54;6;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;3494;3;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;9216;981;4553;4663;654;1170;875;511;174;54;6;0;0;0;9209;5;0;981;0;0
3543907;Rio Claro;74059;43;402;74059;200259;151;507;22580;20;28;96601;67;176;103657;59;327;13211;23036;19457;12209;4012;1097;223;25;0;0;15;3;0;3;0;0;0;0;0;0;369;18;0;4;0;0;0;0;0;0;60739;1422;11735;54;0;0;0;30;12;0;0;0;350;0;0;0;15;0;26;0;10;0;0;200259;22580;96601;103657;13211;23036;19457;12209;4012;1097;223;25;0;0;168752;4023;27219;18402;531;3547
3544004;Rio das Pedras;10670;4;0;10670;31289;20;0;4030;0;0;15594;5;0;15695;10;0;1431;2953;2956;2191;743;209;69;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10411;18;166;56;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31289;4030;15594;15695;1431;2953;2956;2191;743;209;69;3;0;0;30650;61;406;3953;12;34
3544103;Rio Grande da Serra;15728;0;87;15728;44030;6;98;5645;0;5;21504;3;34;22526;3;63;2993;4143;4056;2883;1089;303;56;4;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0;0;0;0;0;15585;0;94;27;0;0;0;0;0;0;0;0;36;0;0;0;38;0;8;5;0;0;0;44030;5645;21504;22526;2993;4143;4056;2883;1089;303;56;4;0;0;43667;18;234;5596;6;23
3544202;Riolândia;3003;0;159;3003;7883;8;1335;990;0;5;3930;3;1313;3953;0;22;691;877;707;441;183;62;11;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;3;3;0;6;27;93;3000;0;0;0;0;0;0;0;0;0;0;0;17;0;0;135;0;0;7;0;0;0;0;7883;990;3930;3953;691;877;707;441;183;62;11;0;0;0;7880;0;0;990;0;0
3544251;Rosana;6529;52;9;6529;17246;115;14;1966;18;4;8459;71;8;8787;44;6;1258;2084;1656;1017;358;64;8;0;0;0;24;13;3;4;3;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;6494;16;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;17246;1966;8459;8787;1258;2084;1656;1017;358;64;8;0;0;0;17171;48;3;1961;0;0
3544301;Roseira;3637;0;0;3637;10828;3;0;1445;0;0;5418;0;0;5410;0;0;603;964;906;667;286;104;36;3;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3623;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10828;1445;5418;5410;603;964;906;667;286;104;36;3;3;9;10797;8;20;1442;0;0
